source,ref,label,split
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-36.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-closed-comedo-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-101.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-103.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-104.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-112.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-114.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-120.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-122.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-126.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-128.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-131.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-133.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-135.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-137.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-141.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-148.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-149.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-18.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-19.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-30.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-33.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-40.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-44.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-45.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-46.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-52.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-53.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-55.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-6.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-61.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-85.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-86.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-89.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-90.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-92.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-95.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-97.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-98.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-cystic-99.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-12.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-14.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-18.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-19.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-22.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-excoriated-8.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-histology-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-histology-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-infantile-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-infantile-12.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-infantile-6.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-12.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-13.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-14.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-15.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-16.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-17.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-18.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-24.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-26.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-27.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-30.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-31.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-33.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-36.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-37.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-48.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-57.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-58.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-61.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-62.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-63.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-67.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-69.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-7.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-open-comedo-72.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-primary-lesion-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-primary-lesion-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-primary-lesion-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-13.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-15.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-17.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-20.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-21.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-22.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-26.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-34.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-37.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-38.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-41.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-51.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-55.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-59.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-61.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-66.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-67.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-7.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-pustular-8.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-scar-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/acne-scar-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-6.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/fordyce-spots-7.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-107.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-12.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-14.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-20.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-21.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-25.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-27.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-29.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-33.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-34.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-37.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-39.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-40.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-42.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-43.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-45.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-46.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-49.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-50.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-56.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-6.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-60.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-62.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-64.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-66.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-69.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-84.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-86.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-87.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-90.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-93.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-94.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-95.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-97.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hidradenitis-suppurativa-99.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hyperhidrosis-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/hyperhidrosis-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/milia-14.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/milia-18.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/milia-19.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/milia-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/minocycline-pigmentation-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/minocycline-pigmentation-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/nevus-comedonicus-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-100.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-101.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-102.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-106.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-109.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-113.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-114.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-115.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-116.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-119.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-121.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-122.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-123.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-125.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-127.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-129.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-130.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-131.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-134.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-138.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-141.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-16.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-17.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-22.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-23.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-24.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-26.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-27.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-28.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-29.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-32.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-33.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-35.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-36.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-38.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-42.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-45.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-50.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-57.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-59.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-83.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-85.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-87.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-88.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-9.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-90.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-92.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/perioral-dermatitis-99.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rhinophyma-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-100.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-103.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-104.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-107.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-111.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-114.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-116.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-117.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-118.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-14.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-15.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-17.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-25.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-27.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-29.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-3.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-30.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-31.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-32.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-34.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-36.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-38.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-39.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-4.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-41.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-47.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-50.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-53.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-58.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-59.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-60.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-62.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-65.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-67.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-68.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-74.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-76.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-79.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-84.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-88.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-9.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-93.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-99.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-10.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-16.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-18.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-2.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-20.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-24.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-29.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-30.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-33.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-34.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-37.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-38.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-40.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-44.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-45.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-48.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-49.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-5.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-53.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-6.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-61.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-65.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-66.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-nose-7.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-steroid-1.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/rosacea-steroid-8.jpg,acne,val
dermnet,test/Acne and Rosacea Photos/sebaceous-glands-upper-lip-2.jpg,acne,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-19.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-20.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-46.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-47.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-53.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-6.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-cheilitis-sq-cell-lip-9.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-10.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-13.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-15.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-19.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-28.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-32.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-35.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-38.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-42.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-50.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-55.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-58.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-61.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-5FU-65.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-arm-2.jpg,actinic_keratosis,val
dermnet,test/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/actinic-keratosis-arm-3.jpg,actinic_keratosis,val
